route,global_solution_id,source_run,source_solution_id,P_peak_grid_opt_kw,replay_peak_kw,lcoe_original_usd_kwh,replay_lcoe_usd_kwh,E_load_total_kwh,demand_charge_usd_kw_month,d1_annual_peak_charge_usd,d2_monthly_demand_charge_usd,d2_minus_d1_usd,d2_vs_d1_percent,d2_lcoe_increment_usd_kwh,lcoe_D2_usd_kwh,lcoe_D2_increase_percent,replay_valid,solve_time_sec,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,biomethane_storage_nm3,chp_kw,globally_nondominated_D2
H2,0,warm_start_20260831_030140,0,351.2476001141024,351.2476001141024,0.1940992206737364,0.19409922067373647,2268096.0450061434,30.0,126449.13604107687,124838.7043897615,-1610.4316513153753,98.72641941120719,0.05504118957600111,0.2491404102497375,28.357243983230866,True,10.834999999999987,990.0,1241.0,441.0,200.0,117.0,,,True
H2,1,warm_start_20260831_030140,1,352.2476001141024,352.2476001141024,0.1921594783204994,0.19215947832049945,2268096.0450061434,30.0,126809.13604107687,126085.29821759765,-723.8378234792181,99.4291911087189,0.05559081084560338,0.24775028916610278,28.929517987598015,True,10.436999999999998,979.0,1264.0,434.0,165.0,116.0,,,True
H2,2,warm_start_20260831_030140,2,353.2476001141024,353.2476001141024,0.1911546434692603,0.19115464346926037,2268096.0450061434,30.0,127169.13604107687,126308.06073321737,-861.0753078595008,99.32288970841057,0.05568902649044355,0.24684366995970386,29.132970813444526,True,12.471999999999987,914.0,1262.0,448.0,186.0,115.0,,,True
H2,3,warm_start_20260831_030140,3,354.2476001141024,354.2476001141024,0.1906083361450367,0.19060833614503675,2268096.0450061434,30.0,127529.13604107687,126013.94052625117,-1515.1955148256966,98.81188286703545,0.05555934935105883,0.24616768549609552,29.14843625138352,True,11.183999999999987,975.0,1427.0,431.0,134.0,114.0,,,True
H2,4,warm_start_20260831_030140,4,355.2476001141024,355.2476001141024,0.1891082855113361,0.1891082855113361,2268096.0450061434,30.0,127889.13604107687,125997.3875732713,-1891.7484678055625,98.52079032952577,0.0555520511799711,0.2446603366913072,29.375789130424444,True,9.415999999999991,867.0,1288.0,469.0,133.0,113.0,,,True
H2,5,warm_start_20260831_030140,5,356.2522600419826,356.2522600419826,0.188107704181706,0.18810770418170608,2268096.0450061434,30.0,128250.81361511373,127941.5707255243,-309.24288958942634,99.75887646957354,0.05640923849200476,0.24451694267371077,29.987734280949624,True,10.397999999999998,905.0,1260.0,436.0,121.0,113.0,,,True
H2,6,warm_start_20260831_030140,6,358.2476001141024,358.2476001141024,0.1878668687133955,0.18786686871339559,2268096.0450061434,30.0,128969.13604107687,127610.44727023719,-1358.6887708396825,98.94650083535727,0.05626324667829115,0.24413011539168666,29.948466732643958,True,11.843999999999982,920.0,1252.0,427.0,118.0,110.0,,,True
H2,7,warm_start_20260831_030140,7,358.6139342315874,358.6139342315874,0.187070762844149,0.18707076284414903,2268096.0450061434,30.0,129101.01632337147,128792.20652837571,-308.80979499575915,99.76079987300622,0.056784282487484725,0.2438550453316337,30.354440011982213,True,12.055999999999976,904.0,1294.0,429.0,105.0,112.0,,,True
H2,8,warm_start_20260831_030140,8,361.2476001141024,361.2476001141024,0.1848962386193645,0.1848962386193645,2268096.0450061434,30.0,130049.13604107687,128795.89793599074,-1253.2381050861295,99.03633492444712,0.05678591002333055,0.24168214864269505,30.712312185123743,True,11.63299999999998,867.0,1280.0,428.0,88.0,107.0,,,True
H2,9,warm_start_20260831_030140,9,362.052265304304,362.05226530430394,0.1842810581894472,0.1842810581894472,2268096.0450061434,30.0,130338.81550954943,129889.5016945448,-449.31381500462885,99.65527244263494,0.05726807821059138,0.24154913640003858,31.076486521863707,True,11.772999999999973,849.0,1280.0,428.0,88.0,107.0,,,True
H2,10,warm_start_20260831_030140,10,364.2476001141024,364.2476001141024,0.183699646115363,0.18369964611536305,2268096.0450061434,30.0,131129.13604107685,130371.14708312477,-757.9889579520823,99.42195229768413,0.05748043490934779,0.24118008102471078,31.290444007306466,True,11.956999999999992,850.0,1291.0,416.0,99.0,104.0,,,True
H2,11,warm_start_20260831_030140,11,366.69099209102114,366.69099209102114,0.1830445120640078,0.18304451206400787,2268096.0450061434,30.0,132008.75715276762,131722.46827665466,-286.28887611295795,99.78312887547176,0.05807623031073972,0.2411207423747475,31.727927625839648,True,11.642999999999981,852.0,1296.0,402.0,107.0,102.0,,,True
H2,12,warm_start_20260831_030140,12,369.21438560785737,369.21438560785737,0.1828125580574107,0.1828125580574107,2268096.0450061434,30.0,132917.17881882866,132634.35469946684,-282.824119361816,99.78721778337824,0.05847827960879302,0.2412908376662037,31.988108601613913,True,11.769999999999989,844.0,1280.0,399.0,112.0,102.0,,,False
H2,13,warm_start_20260831_030140,13,369.8845469503185,369.8845469503185,0.1819240803207736,0.1819240803207736,2268096.0450061434,30.0,133158.43690211466,132741.20088853792,-417.2360135767376,99.68666197705261,0.058525387926496905,0.24044946824727048,32.17022607634092,True,12.037999999999991,833.0,1396.0,399.0,106.0,101.0,,,True
H2,14,warm_start_20260831_030140,14,371.2476001141024,371.2476001141024,0.1814814678485158,0.18148146784851588,2268096.0450061434,30.0,133649.13604107685,132436.32324883717,-1212.8127922396816,99.09253974386566,0.05839096785183912,0.2398724357003549,32.174617355739365,True,11.961999999999987,849.0,1278.0,387.0,91.0,97.0,,,True
H2,15,warm_start_20260831_030140,15,374.2476001141024,374.2476001141024,0.1811360334533573,0.18113603345335733,2268096.0450061434,30.0,134729.13604107685,132008.7986892676,-2720.337351809256,97.980884141512,0.05820247294197369,0.239338506395331,32.131913144140306,True,11.90299999999998,852.0,1275.0,383.0,86.0,94.0,,,True
H2,16,warm_start_20260831_030140,16,375.2476001141024,375.2476001141024,0.1801858679452257,0.18018586794522573,2268096.0450061434,30.0,135089.13604107685,134753.0604228039,-336.0756182729674,99.75121935921571,0.059412413649545824,0.23959828159477153,32.972848718416955,True,9.544999999999991,780.0,1374.0,409.0,100.0,93.0,,,False
H2,17,warm_start_20260831_030140,17,376.2476001141024,376.2476001141024,0.1797351141556438,0.17973511415564386,2268096.0450061434,30.0,135449.13604107685,133691.9629187688,-1757.1731223080424,98.70270628985396,0.05894457741907781,0.23867969157472163,32.795248550060194,True,9.591999999999999,820.0,1266.0,376.0,89.0,92.0,,,True
H2,18,warm_start_20260831_030140,18,377.23945331429786,377.23945331429786,0.179370032719817,0.17937003271981708,2268096.0450061434,30.0,135806.20319314723,135527.27692513049,-278.92626801674487,99.79461448633532,0.059753764494908504,0.2391237972147255,33.31312571495497,True,9.618999999999998,835.0,1276.0,363.0,87.0,93.0,,,False
H2,19,warm_start_20260831_030140,19,377.2476001141024,377.2476001141024,0.1778909995986625,0.17789099959866253,2268096.0450061434,30.0,135809.13604107685,135184.37342934703,-624.7626117298205,99.53997011545611,0.05960257887975854,0.23749357847842104,33.505112127216734,True,11.236999999999991,790.0,1495.0,370.0,106.0,91.0,,,True
H2,20,warm_start_20260831_030140,20,380.2476001141024,380.2476001141024,0.1777144879755587,0.1777144879755587,2268096.0450061434,30.0,136889.13604107685,134782.41918707645,-2106.716854000406,98.46100507686144,0.05942535788281019,0.2371398458583689,33.43866814673154,True,9.73799999999999,773.0,1272.0,369.0,94.0,88.0,,,True
H2,21,warm_start_20260831_030140,21,381.9500064836302,381.9500064836302,0.1763554961296084,0.1763554961296084,2268096.0450061434,30.0,137502.0023341069,137239.251506273,-262.7508278338937,99.80891127156428,0.06050857141100533,0.23686406754061373,34.310567427133634,True,9.692,771.0,1278.0,350.0,91.0,87.0,,,True
H2,22,warm_start_20260831_030140,22,384.2476001141024,384.2476001141024,0.1753223458816753,0.1753223458816753,2268096.0450061434,30.0,138329.13604107685,136678.78768181862,-1650.3483592582343,98.80694089004636,0.06026146378710713,0.23558380966878245,34.3718100987409,True,10.15799999999999,741.0,1340.0,360.0,93.0,84.0,,,True
